"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2018","45.72","45.43","46.80","45.03","78.64K","0.26%"
"12/28/2018","45.60","45.73","46.50","44.70","86.78K","1.56%"
"12/27/2018","44.90","46.87","47.01","44.65","79.70K","-3.52%"
"12/26/2018","46.54","43.07","47.31","42.81","95.75K","7.83%"
"12/25/2018","43.16","43.00","43.25","42.88","","0.79%"
"12/24/2018","42.82","45.74","46.51","42.67","55.88K","-6.69%"
"12/21/2018","45.89","46.53","47.06","45.40","106.70K","-0.65%"
"12/20/2018","46.19","47.77","47.84","46.00","97.13K","-4.11%"
"12/19/2018","48.17","46.31","48.36","46.30","817.72K","3.37%"
"12/18/2018","46.60","49.46","49.90","46.11","949.32K","-7.17%"
"12/17/2018","50.20","51.52","52.15","49.32","563.28K","-2.47%"
"12/14/2018","51.47","53.04","53.19","51.11","271.68K","-2.57%"
"12/13/2018","52.83","51.43","53.50","50.60","261.44K","2.86%"
"12/12/2018","51.36","52.14","53.06","51.16","230.13K","-0.93%"
"12/11/2018","51.84","51.10","52.61","50.89","215.76K","1.25%"
"12/10/2018","51.20","52.21","53.01","50.73","184.11K","-3.05%"
"12/07/2018","52.81","51.98","54.44","50.83","213.57K","2.15%"
"12/06/2018","51.70","53.15","53.53","50.31","163.00K","-2.67%"
"12/05/2018","53.12","52.79","54.67","52.37","101.47K","-0.64%"
"12/04/2018","53.46","53.31","54.77","52.67","133.28K","0.60%"
"12/03/2018","53.14","51.93","54.00","51.93","116.87K","4.01%"
"11/30/2018","51.09","51.31","51.95","49.83","95.04K","-1.03%"
"11/29/2018","51.62","50.48","52.34","49.60","76.23K","2.24%"
"11/28/2018","50.49","52.30","52.70","50.27","86.18K","-2.40%"
"11/27/2018","51.73","51.72","52.53","50.49","65.37K","-0.14%"
"11/26/2018","51.80","50.71","52.41","50.25","73.81K","2.39%"
"11/23/2018","50.59","54.80","55.00","50.33","80.97K","-6.35%"
"11/22/2018","54.02","54.64","54.82","53.53","","-1.42%"
"11/21/2018","54.80","53.52","55.98","53.52","91.61K","2.30%"
"11/20/2018","53.57","57.51","57.56","52.94","123.43K","-6.35%"
"11/19/2018","57.20","57.03","57.58","55.28","699.68K","0.92%"
"11/16/2018","56.68","56.78","58.16","56.12","715.91K","0.00%"
"11/15/2018","56.68","56.24","57.48","55.80","589.35K","0.43%"
"11/14/2018","56.44","55.49","57.55","55.30","417.86K","1.07%"
