"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2018","2.88","2.77","2.95","2.73","1.03M","-0.69%"
"12/28/2018","2.90","2.87","2.95","2.85","1.06M","-1.69%"
"12/27/2018","2.95","2.94","3.02","2.89","744.04K","-1.34%"
"12/26/2018","2.99","3.00","3.07","2.88","746.32K","0.67%"
"12/24/2018","2.97","2.95","3.03","2.90","655.15K","-0.34%"
"12/21/2018","2.98","3.06","3.12","2.90","2.33M","-2.61%"
"12/20/2018","3.06","3.15","3.25","2.89","1.64M","0.99%"
"12/19/2018","3.03","3.25","3.43","3.03","1.64M","-7.06%"
"12/18/2018","3.26","3.14","3.33","3.07","1.66M","1.56%"
"12/17/2018","3.21","2.90","3.22","2.90","1.54M","11.07%"
"12/14/2018","2.89","2.95","2.99","2.87","843.04K","-1.03%"
"12/13/2018","2.92","3.01","3.12","2.91","1.14M","-5.81%"
"12/12/2018","3.10","3.10","3.16","3.05","459.90K","1.31%"
"12/11/2018","3.06","3.15","3.15","3.06","541.64K","0.33%"
"12/10/2018","3.05","3.15","3.15","3.00","526.07K","0.00%"
"12/07/2018","3.05","2.85","3.15","2.85","1.19M","7.02%"
"12/06/2018","2.85","2.85","2.90","2.79","652.37K","0.00%"
"12/04/2018","2.85","2.99","2.99","2.80","706.70K","-1.04%"
"12/03/2018","2.88","2.90","2.97","2.85","508.86K","1.41%"
"11/30/2018","2.84","2.85","2.85","2.74","491.84K","0.35%"
"11/29/2018","2.83","2.96","2.99","2.83","357.03K","-4.39%"
"11/28/2018","2.96","2.93","2.98","2.83","514.92K","2.07%"
"11/27/2018","2.90","2.96","2.96","2.79","728.64K","-1.36%"
"11/26/2018","2.94","3.05","3.10","2.87","1.06M","-2.97%"
"11/23/2018","3.03","3.10","3.14","3.03","237.58K","-3.81%"
"11/21/2018","3.15","3.13","3.17","3.09","499.11K","2.61%"
"11/20/2018","3.07","3.14","3.18","3.00","696.65K","-1.92%"
"11/19/2018","3.13","3.19","3.23","3.10","362.79K","-2.19%"
"11/16/2018","3.20","3.17","3.24","3.15","793.79K","2.56%"
"11/15/2018","3.12","3.06","3.15","3.05","722.08K","2.97%"
"11/14/2018","3.03","3.07","3.19","3.02","1.01M","-1.30%"
"11/13/2018","3.07","3.16","3.20","3.02","898.24K","-0.97%"
"11/12/2018","3.10","3.31","3.35","3.10","983.30K","-5.78%"
"11/09/2018","3.29","3.45","3.50","3.27","1.31M","-6.00%"
"11/08/2018","3.50","3.65","3.65","3.46","783.20K","-3.85%"
"11/07/2018","3.64","3.71","3.71","3.58","536.85K","-0.27%"
"11/06/2018","3.65","3.61","3.67","3.55","311.67K","0.00%"
"11/05/2018","3.65","3.65","3.73","3.60","597.57K","1.39%"
"11/02/2018","3.60","3.70","3.70","3.48","574.67K","3.45%"
"11/01/2018","3.48","3.40","3.55","3.40","1.13M","5.14%"
"10/31/2018","3.31","3.45","3.49","3.25","1.47M","-4.06%"
"10/30/2018","3.45","3.50","3.65","3.38","982.65K","4.55%"
"10/29/2018","3.30","3.85","3.90","3.30","1.47M","-14.29%"
"10/26/2018","3.85","4.15","4.20","3.65","1.97M","-6.10%"
"10/25/2018","4.10","4.37","4.37","4.10","1.21M","-4.65%"
"10/24/2018","4.30","4.50","4.50","4.28","912.92K","-4.02%"
"10/23/2018","4.48","4.62","4.62","4.46","641.76K","-1.32%"
"10/22/2018","4.54","4.55","4.55","4.45","411.62K","0.22%"
"10/19/2018","4.53","4.59","4.60","4.49","577.08K","-0.88%"
"10/18/2018","4.57","4.60","4.64","4.50","504.92K","0.22%"
"10/17/2018","4.56","4.60","4.70","4.52","937.17K","-0.87%"
"10/16/2018","4.60","4.54","4.73","4.50","1.13M","3.37%"
"10/15/2018","4.45","4.71","4.74","4.45","1.02M","-2.63%"
"10/12/2018","4.57","4.75","4.75","4.46","916.18K","-3.79%"
"10/11/2018","4.75","4.63","4.75","4.50","1.29M","5.56%"
"10/10/2018","4.50","4.46","4.50","4.37","695.13K","0.90%"
"10/09/2018","4.46","4.45","4.57","4.43","344.85K","-3.25%"
"10/08/2018","4.61","4.36","4.64","4.33","608.26K","4.77%"
"10/05/2018","4.40","4.60","4.60","4.35","774.42K","-0.90%"
"10/04/2018","4.44","4.50","4.64","4.40","608.32K","-1.33%"
"10/03/2018","4.50","4.48","4.57","4.36","1.09M","1.35%"
"10/02/2018","4.44","4.61","4.88","4.40","2.15M","-4.52%"
"10/01/2018","4.65","4.35","4.65","4.30","1.69M","5.20%"
"09/28/2018","4.42","4.30","4.50","4.25","1.30M","3.76%"
"09/27/2018","4.26","4.30","4.42","4.25","806.30K","-2.07%"
"09/26/2018","4.35","4.42","4.50","4.31","1.52M","-1.14%"
"09/25/2018","4.40","4.47","4.61","4.40","1.92M","-0.23%"
"09/24/2018","4.41","4.54","4.71","4.38","2.86M","0.23%"
"09/21/2018","4.40","4.40","4.67","4.31","3.87M","-0.68%"
"09/20/2018","4.43","4.75","4.82","4.40","2.39M","-7.52%"
"09/19/2018","4.79","4.34","4.82","4.30","1.11M","10.37%"
"09/18/2018","4.34","4.40","4.40","4.15","946.05K","-0.23%"
"09/17/2018","4.35","4.17","4.35","4.13","1.14M","6.10%"
"09/14/2018","4.10","4.21","4.30","4.10","1.03M","-3.53%"
"09/13/2018","4.25","4.45","4.55","4.25","950.41K","-2.52%"
"09/12/2018","4.36","4.19","4.44","4.13","1.03M","3.32%"
"09/11/2018","4.22","4.25","4.30","4.08","1.19M","-0.71%"
"09/10/2018","4.25","4.26","4.41","4.20","1.29M","-0.70%"
"09/07/2018","4.28","4.33","4.47","4.20","1.33M","-0.47%"
"09/06/2018","4.30","4.68","4.68","4.27","1.61M","-6.52%"
"09/05/2018","4.60","4.61","4.67","4.55","505.69K","0.00%"
"09/04/2018","4.60","4.95","4.95","4.60","1.22M","-6.12%"
"08/31/2018","4.90","4.98","5.00","4.82","919.54K","-1.61%"
"08/30/2018","4.98","4.95","5.05","4.95","432.56K","-0.40%"
"08/29/2018","5.00","4.82","5.10","4.70","581.48K","-0.99%"
"08/28/2018","5.05","5.25","5.25","4.98","460.76K","-1.94%"
"08/27/2018","5.15","5.10","5.30","5.08","690.06K","0.98%"
"08/24/2018","5.10","4.97","5.15","4.89","948.30K","6.25%"
"08/23/2018","4.80","4.92","5.05","4.78","847.61K","-3.23%"
"08/22/2018","4.96","5.05","5.15","4.90","1.37M","-0.80%"
"08/21/2018","5.00","4.88","5.00","4.81","557.85K","3.31%"
"08/20/2018","4.84","4.85","4.90","4.70","455.17K","3.20%"
"08/17/2018","4.69","4.58","4.82","4.58","963.75K","3.53%"
"08/16/2018","4.53","4.70","4.91","4.51","1.22M","-3.00%"
"08/15/2018","4.67","4.95","4.95","4.57","1.34M","-5.66%"
"08/14/2018","4.95","4.92","5.05","4.90","736.27K","2.06%"
