"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2019","29.28","29.70","29.76","29.26","32.78M","-0.71%"
"12/30/2019","29.49","28.92","29.49","28.90","56.35M","2.15%"
"12/27/2019","28.87","29.01","29.15","28.71","37.73M","-0.72%"
"12/26/2019","29.08","28.90","29.25","28.75","57.57M","1.47%"
"12/24/2019","28.66","27.91","28.66","27.89","70.68M","3.20%"
"12/23/2019","27.77","27.13","27.83","27.05","72.13M","2.36%"
"12/20/2019","27.13","27.51","27.54","27.12","41.97M","-1.27%"
"12/19/2019","27.48","27.50","27.59","27.27","24.67M","0.11%"
"12/18/2019","27.45","27.14","27.48","27.09","45.24M","1.07%"
"12/17/2019","27.16","27.36","27.45","27.15","31.06M","-0.84%"
"12/16/2019","27.39","27.74","27.74","27.32","42.36M","-1.19%"
"12/13/2019","27.72","27.47","27.84","27.32","30.00M","0.22%"
"12/12/2019","27.66","28.00","28.11","27.39","65.66M","-0.18%"
"12/11/2019","27.71","27.24","27.85","27.16","76.16M","2.14%"
"12/10/2019","27.13","27.15","27.16","26.88","36.77M","0.78%"
"12/09/2019","26.92","27.13","27.18","26.85","32.18M","-0.19%"
"12/06/2019","26.97","27.12","27.39","26.95","75.30M","-2.35%"
"12/05/2019","27.62","27.35","27.86","27.33","47.77M","0.51%"
"12/04/2019","27.48","27.64","27.72","27.31","56.20M","-1.04%"
"12/03/2019","27.77","27.54","27.94","27.54","81.37M","2.21%"
"12/02/2019","27.17","26.89","27.21","26.83","43.83M","0.33%"
"11/29/2019","27.08","26.69","27.16","26.69","44.36M","1.58%"
"11/27/2019","26.66","26.58","26.79","26.42","37.12M","-0.45%"
"11/26/2019","26.78","26.25","26.83","26.14","64.85M","2.21%"
"11/25/2019","26.20","26.48","26.68","26.18","58.43M","-2.09%"
"11/22/2019","26.76","26.92","26.98","26.59","24.32M","-0.22%"
"11/21/2019","26.82","27.19","27.36","26.81","67.80M","-1.90%"
"11/20/2019","27.34","27.20","27.46","26.93","35.29M","0.40%"
"11/19/2019","27.23","27.04","27.50","27.03","33.30M","0.11%"
"11/18/2019","27.20","26.79","27.21","26.74","49.63M","1.72%"
"11/15/2019","26.74","26.78","27.09","26.72","37.43M","-0.96%"
"11/14/2019","27.00","26.87","27.07","26.73","34.65M","0.93%"
"11/13/2019","26.75","26.72","27.01","26.69","39.51M","0.60%"
"11/12/2019","26.59","26.28","26.64","25.98","56.89M","1.33%"
"11/11/2019","26.24","26.27","26.45","26.14","33.32M","0.04%"
"11/08/2019","26.23","26.23","26.58","26.14","42.34M","-0.98%"
"11/07/2019","26.49","27.02","27.09","26.30","90.74M","-2.97%"
"11/06/2019","27.30","27.13","27.40","26.91","48.93M","1.22%"
"11/05/2019","26.97","26.97","27.14","26.76","62.15M","-2.00%"
"11/04/2019","27.52","27.92","27.96","27.48","56.66M","-1.75%"
"11/01/2019","28.01","27.93","28.16","27.65","55.36M","-0.50%"
"10/31/2019","28.15","27.70","28.18","27.60","79.60M","2.55%"
"10/30/2019","27.45","27.30","27.49","26.73","54.90M","0.88%"
"10/29/2019","27.21","26.89","27.43","26.77","32.76M","0.55%"
"10/28/2019","27.06","27.43","27.44","27.00","60.89M","-2.45%"
"10/25/2019","27.74","28.01","28.18","27.37","59.96M","0.80%"
"10/24/2019","27.52","26.97","27.55","26.94","55.74M","2.65%"
"10/23/2019","26.81","26.64","27.02","26.64","51.00M","1.02%"
"10/22/2019","26.54","26.67","26.80","26.23","31.75M","-0.15%"
"10/21/2019","26.58","27.25","27.30","26.50","50.17M","-1.99%"
"10/18/2019","27.12","26.95","27.24","26.79","31.90M","0.15%"
"10/17/2019","27.08","26.50","27.35","26.47","50.87M","1.39%"
"10/16/2019","26.71","26.45","26.74","26.19","63.83M","1.99%"
"10/15/2019","26.19","26.88","26.88","26.18","82.90M","-3.25%"
"10/14/2019","27.07","27.04","27.29","26.94","35.32M","0.37%"
"10/11/2019","26.97","27.67","27.70","26.91","96.01M","-3.85%"
"10/10/2019","28.05","28.01","28.16","27.52","41.01M","0.00%"
"10/09/2019","28.05","28.35","28.36","27.88","45.24M","-1.09%"
"10/08/2019","28.36","28.08","28.38","27.79","75.85M","2.83%"
"10/07/2019","27.58","27.60","27.99","27.46","42.93M","-1.04%"
"10/04/2019","27.87","27.15","27.91","27.14","59.02M","2.28%"
"10/03/2019","27.25","27.41","28.05","27.24","69.11M","-0.58%"
"10/02/2019","27.41","27.47","27.50","27.02","84.24M","1.82%"
"10/01/2019","26.92","26.62","27.46","26.51","77.65M","0.79%"
"09/30/2019","26.71","26.99","27.35","26.54","83.63M","-2.70%"
"09/27/2019","27.45","27.50","27.84","27.30","85.79M","-2.35%"
"09/26/2019","28.11","28.55","28.78","28.09","51.63M","-1.13%"
"09/25/2019","28.43","29.31","29.39","28.21","115.03M","-3.59%"
"09/24/2019","29.49","28.84","29.58","28.69","60.45M","1.13%"
"09/23/2019","29.16","28.81","29.16","28.71","58.22M","1.64%"
"09/20/2019","28.69","28.19","28.69","27.86","79.04M","2.10%"
"09/19/2019","28.10","27.83","28.18","27.72","48.65M","1.74%"
"09/18/2019","27.62","28.11","28.14","26.98","97.01M","-1.78%"
"09/17/2019","28.12","27.48","28.27","27.38","78.51M","3.04%"
"09/16/2019","27.29","27.25","27.50","26.89","68.93M","2.44%"
"09/13/2019","26.64","27.41","27.59","26.60","80.73M","-2.31%"
"09/12/2019","27.27","28.53","28.70","27.23","82.79M","-1.62%"
"09/11/2019","27.72","27.63","28.21","27.54","78.53M","0.76%"
"09/10/2019","27.51","27.70","28.06","27.45","66.59M","-0.79%"
"09/09/2019","27.73","28.63","28.73","27.63","90.35M","-2.63%"
"09/06/2019","28.48","29.53","29.76","28.44","88.85M","-2.83%"
"09/05/2019","29.31","30.23","30.26","29.17","132.67M","-5.30%"
"09/04/2019","30.95","30.33","30.96","30.29","48.38M","1.91%"
"09/03/2019","30.37","30.28","30.76","30.12","69.32M","1.71%"
