"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2018","1,197.50","1,185.20","1,198.80","1,183.60","","1.07%"
"12/30/2018","1,184.80","1,186.00","1,192.00","1,184.80","","-0.03%"
"12/28/2018","1,185.20","1,196.00","1,204.80","1,179.50","","-0.90%"
"12/27/2018","1,196.00","1,190.05","1,198.40","1,181.50","","0.50%"
"12/26/2018","1,190.10","1,176.00","1,191.00","1,175.50","","1.13%"
"12/25/2018","1,176.80","1,172.80","1,176.80","1,172.80","","0.34%"
"12/24/2018","1,172.80","1,163.40","1,177.60","1,157.90","","0.81%"
"12/23/2018","1,163.40","1,161.45","1,165.40","1,158.20","","0.39%"
"12/21/2018","1,158.90","1,188.80","1,190.40","1,155.50","","-2.49%"
"12/20/2018","1,188.45","1,195.00","1,204.10","1,177.60","","-0.55%"
"12/19/2018","1,195.00","1,176.70","1,208.70","1,173.80","","1.62%"
"12/18/2018","1,176.00","1,187.05","1,189.20","1,173.50","","-1.01%"
"12/17/2018","1,188.00","1,170.00","1,194.20","1,167.90","","1.54%"
"12/16/2018","1,170.00","1,171.00","1,173.10","1,169.60","","0.03%"
"12/14/2018","1,169.65","1,192.00","1,192.05","1,149.75","","-1.86%"
"12/13/2018","1,191.80","1,192.80","1,198.55","1,181.40","","-0.04%"
"12/12/2018","1,192.30","1,175.65","1,195.00","1,174.10","","1.39%"
"12/11/2018","1,176.00","1,165.90","1,184.80","1,161.00","","0.96%"
"12/10/2018","1,164.85","1,166.50","1,180.00","1,157.00","","-0.18%"
"12/09/2018","1,167.00","1,169.15","1,169.15","1,166.55","","-0.37%"
"12/07/2018","1,171.35","1,156.60","1,174.00","1,137.20","","1.25%"
"12/06/2018","1,156.90","1,183.30","1,187.80","1,135.80","","-2.25%"
"12/05/2018","1,183.50","1,181.00","1,198.30","1,176.50","","0.21%"
"12/04/2018","1,181.00","1,162.40","1,189.30","1,161.00","","1.60%"
"12/03/2018","1,162.40","1,154.00","1,178.70","1,153.10","","0.73%"
"12/02/2018","1,154.00","1,152.00","1,156.90","1,149.00","","0.59%"
"11/30/2018","1,147.20","1,158.00","1,173.00","1,143.10","","-0.91%"
"11/29/2018","1,157.70","1,156.10","1,157.70","1,141.30","","0.14%"
"11/28/2018","1,156.10","1,126.90","1,161.10","1,125.00","","2.63%"
"11/27/2018","1,126.50","1,126.00","1,129.60","1,111.10","","0.04%"
"11/26/2018","1,126.00","1,103.70","1,128.30","1,103.30","","2.02%"
"11/25/2018","1,103.70","1,099.60","1,103.70","1,099.60","","0.16%"
"11/23/2018","1,101.90","1,136.50","1,136.50","1,095.00","","-3.04%"
"11/22/2018","1,136.50","1,129.30","1,136.90","1,126.00","","0.64%"
"11/21/2018","1,129.30","1,125.00","1,139.60","1,123.30","","0.38%"
"11/20/2018","1,125.00","1,146.20","1,152.70","1,117.40","","-1.85%"
"11/19/2018","1,146.20","1,163.40","1,167.10","1,140.50","","-1.48%"
"11/18/2018","1,163.40","1,161.80","1,164.50","1,157.10","","0.39%"
"11/16/2018","1,158.90","1,137.60","1,168.30","1,136.50","","1.87%"
"11/15/2018","1,137.60","1,110.60","1,161.40","1,105.00","","2.44%"
"11/14/2018","1,110.50","1,096.70","1,117.00","1,085.10","","1.26%"
"11/13/2018","1,096.70","1,083.90","1,098.30","1,081.80","","1.18%"
"11/12/2018","1,083.90","1,099.00","1,104.40","1,077.70","","-1.39%"
"11/11/2018","1,099.20","1,100.50","1,100.50","1,097.10","","-0.03%"
"11/09/2018","1,099.50","1,110.70","1,113.00","1,092.20","","-1.01%"
"11/08/2018","1,110.70","1,117.90","1,123.40","1,098.60","","-0.65%"
"11/07/2018","1,118.00","1,101.20","1,124.30","1,098.00","","1.53%"
"11/06/2018","1,101.20","1,119.50","1,120.00","1,087.10","","-1.59%"
"11/05/2018","1,119.00","1,103.30","1,124.40","1,097.60","","1.42%"
"11/04/2018","1,103.30","1,102.70","1,104.90","1,101.10","","0.05%"
"11/02/2018","1,102.70","1,082.70","1,110.40","1,078.40","","2.09%"
"11/01/2018","1,080.10","1,066.00","1,087.80","1,062.60","","1.32%"
"10/31/2018","1,066.00","1,063.10","1,073.80","1,054.60","","0.27%"
"10/30/2018","1,063.10","1,076.70","1,084.40","1,054.50","","-1.26%"
"10/29/2018","1,076.70","1,089.00","1,106.80","1,073.50","","-1.13%"
"10/28/2018","1,089.00","1,090.40","1,090.40","1,088.70","","-0.24%"
"10/26/2018","1,091.60","1,087.80","1,093.80","1,065.30","","0.41%"
"10/25/2018","1,087.10","1,111.50","1,112.40","1,086.00","","-2.20%"
"10/24/2018","1,111.50","1,126.10","1,126.70","1,108.80","","-1.30%"
"10/23/2018","1,126.10","1,108.50","1,136.90","1,104.40","","1.59%"
"10/22/2018","1,108.50","1,072.50","1,111.90","1,070.60","","3.36%"
"10/21/2018","1,072.50","1,072.80","1,072.80","1,070.70","","0.05%"
"10/19/2018","1,072.00","1,062.50","1,080.70","1,062.50","","0.89%"
"10/18/2018","1,062.50","1,064.90","1,070.60","1,057.50","","-0.23%"
"10/17/2018","1,064.90","1,072.80","1,077.00","1,063.10","","-0.74%"
"10/16/2018","1,072.80","1,077.60","1,082.90","1,068.90","","-0.45%"
"10/15/2018","1,077.60","1,060.70","1,083.00","1,060.30","","1.59%"
"10/14/2018","1,060.70","1,062.00","1,062.00","1,059.60","","-0.01%"
"10/12/2018","1,060.80","1,071.00","1,082.90","1,059.60","","-0.95%"
"10/11/2018","1,071.00","1,060.60","1,089.30","1,059.30","","0.97%"
"10/10/2018","1,060.70","1,064.80","1,074.00","1,055.60","","-0.39%"
"10/09/2018","1,064.80","1,069.00","1,077.50","1,058.60","","-0.39%"
"10/08/2018","1,069.00","1,065.40","1,069.30","1,048.60","","0.34%"
"10/07/2018","1,065.40","1,058.70","1,065.40","1,058.00","","0.18%"
"10/05/2018","1,063.50","1,048.00","1,069.30","1,043.40","","1.48%"
"10/04/2018","1,048.00","1,048.90","1,056.80","1,041.10","","-0.09%"
