"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2018","2,450.00","2,450.00","2,450.00","2,450.00","","0.00%"
"12/28/2018","2,450.00","2,450.00","2,450.00","2,450.00","","-4.30%"
"12/27/2018","2,560.00","2,560.00","2,560.00","2,560.00","","3.64%"
"12/26/2018","2,470.00","2,470.00","2,470.00","2,470.00","","0.00%"
"12/24/2018","2,470.00","2,470.00","2,470.00","2,470.00","","-0.40%"
"12/21/2018","2,480.00","2,480.00","2,480.00","2,480.00","","-0.40%"
"12/20/2018","2,490.00","2,490.00","2,490.00","2,490.00","","-0.40%"
"12/19/2018","2,500.00","2,500.00","2,500.00","2,500.00","","-0.20%"
"12/18/2018","2,505.00","2,505.00","2,505.00","2,505.00","","-1.18%"
"12/17/2018","2,535.00","2,535.00","2,535.00","2,535.00","","0.00%"
"12/14/2018","2,535.00","2,535.00","2,535.00","2,535.00","","-0.98%"
"12/13/2018","2,560.00","2,560.00","2,560.00","2,560.00","","0.00%"
"12/12/2018","2,560.00","2,560.00","2,560.00","2,560.00","","-0.39%"
"12/11/2018","2,570.00","2,570.00","2,570.00","2,570.00","","-0.77%"
"12/10/2018","2,590.00","2,590.00","2,590.00","2,590.00","","0.00%"
"12/07/2018","2,590.00","2,590.00","2,590.00","2,590.00","","0.00%"
"12/06/2018","2,590.00","2,590.00","2,590.00","2,590.00","","0.00%"
"12/05/2018","2,590.00","2,590.00","2,590.00","2,590.00","","0.00%"
"12/04/2018","2,590.00","2,590.00","2,590.00","2,590.00","","0.00%"
"12/03/2018","2,590.00","2,590.00","2,590.00","2,590.00","","0.00%"
"11/30/2018","2,590.00","2,590.00","2,590.00","2,590.00","","0.39%"
"11/29/2018","2,580.00","2,580.00","2,580.00","2,580.00","","0.19%"
"11/28/2018","2,575.00","2,575.00","2,575.00","2,575.00","","0.39%"
"11/27/2018","2,565.00","2,565.00","2,565.00","2,565.00","","0.00%"
"11/26/2018","2,565.00","2,565.00","2,565.00","2,565.00","","0.00%"
"11/23/2018","2,565.00","2,565.00","2,565.00","2,565.00","","0.20%"
"11/22/2018","2,560.00","2,560.00","2,560.00","2,560.00","","0.39%"
"11/21/2018","2,550.00","2,550.00","2,550.00","2,550.00","","0.39%"
"11/20/2018","2,540.00","2,540.00","2,540.00","2,540.00","","0.40%"
"11/19/2018","2,530.00","2,530.00","2,530.00","2,530.00","","1.00%"
"11/16/2018","2,505.00","2,505.00","2,505.00","2,505.00","","0.00%"
"11/15/2018","2,505.00","2,505.00","2,505.00","2,505.00","","0.00%"
"11/14/2018","2,505.00","2,505.00","2,505.00","2,505.00","","0.60%"
"11/13/2018","2,490.00","2,490.00","2,490.00","2,490.00","","0.61%"
"11/12/2018","2,475.00","2,475.00","2,475.00","2,475.00","","1.02%"
"11/09/2018","2,450.00","2,450.00","2,450.00","2,450.00","","0.82%"
"11/08/2018","2,430.00","2,430.00","2,430.00","2,430.00","","0.00%"
"11/07/2018","2,430.00","2,430.00","2,430.00","2,430.00","","0.62%"
"11/06/2018","2,415.00","2,415.00","2,415.00","2,415.00","","0.00%"
"11/05/2018","2,415.00","2,415.00","2,415.00","2,415.00","","0.00%"
"11/02/2018","2,415.00","2,415.00","2,415.00","2,415.00","","0.00%"
"11/01/2018","2,415.00","2,415.00","2,415.00","2,415.00","","0.00%"
"10/31/2018","2,415.00","2,415.00","2,415.00","2,415.00","","0.00%"
"10/30/2018","2,415.00","2,415.00","2,415.00","2,415.00","","-1.02%"
"10/29/2018","2,440.00","2,440.00","2,440.00","2,440.00","","0.00%"
"10/26/2018","2,440.00","2,440.00","2,440.00","2,440.00","","-0.81%"
"10/25/2018","2,460.00","2,460.00","2,460.00","2,460.00","","-0.40%"
"10/24/2018","2,470.00","2,470.00","2,470.00","2,470.00","","0.00%"
"10/23/2018","2,470.00","2,470.00","2,470.00","2,470.00","","-0.40%"
"10/22/2018","2,480.00","2,480.00","2,480.00","2,480.00","","0.00%"
"10/19/2018","2,480.00","2,480.00","2,480.00","2,480.00","","0.00%"
"10/18/2018","2,480.00","2,480.00","2,480.00","2,480.00","","0.00%"
"10/17/2018","2,480.00","2,480.00","2,480.00","2,480.00","","-0.40%"
"10/16/2018","2,490.00","2,490.00","2,490.00","2,490.00","","-0.60%"
"10/15/2018","2,505.00","2,505.00","2,505.00","2,505.00","","0.00%"
"10/12/2018","2,505.00","2,505.00","2,505.00","2,505.00","","-1.57%"
"10/11/2018","2,545.00","2,545.00","2,545.00","2,545.00","","-0.59%"
"10/10/2018","2,560.00","2,560.00","2,560.00","2,560.00","","0.00%"
"10/09/2018","2,560.00","2,560.00","2,560.00","2,560.00","","-0.19%"
"10/08/2018","2,565.00","2,565.00","2,565.00","2,565.00","","-0.19%"
"10/05/2018","2,570.00","2,570.00","2,570.00","2,570.00","","0.00%"
"10/04/2018","2,570.00","2,570.00","2,570.00","2,570.00","","0.00%"
"10/03/2018","2,570.00","2,570.00","2,570.00","2,570.00","","0.00%"
"10/02/2018","2,570.00","2,570.00","2,570.00","2,570.00","","0.00%"
"10/01/2018","2,570.00","2,570.00","2,570.00","2,570.00","","0.00%"
"09/28/2018","2,570.00","2,570.00","2,570.00","2,570.00","","0.00%"
"09/27/2018","2,570.00","2,570.00","2,570.00","2,570.00","","0.00%"
"09/26/2018","2,570.00","2,570.00","2,570.00","2,570.00","","0.19%"
"09/25/2018","2,565.00","2,565.00","2,565.00","2,565.00","","0.00%"
"09/24/2018","2,565.00","2,565.00","2,565.00","2,565.00","","0.39%"
"09/21/2018","2,555.00","2,555.00","2,555.00","2,555.00","","1.39%"
"09/20/2018","2,520.00","2,520.00","2,520.00","2,520.00","","2.86%"
"09/19/2018","2,450.00","2,450.00","2,450.00","2,450.00","","0.82%"
"09/18/2018","2,430.00","2,430.00","2,430.00","2,430.00","","0.83%"
"09/17/2018","2,410.00","2,410.00","2,410.00","2,410.00","","0.00%"
"09/14/2018","2,410.00","2,410.00","2,410.00","2,410.00","","0.00%"
"09/13/2018","2,410.00","2,410.00","2,410.00","2,410.00","","0.42%"
"09/12/2018","2,400.00","2,400.00","2,400.00","2,400.00","","0.42%"
"09/11/2018","2,390.00","2,390.00","2,390.00","2,390.00","","0.00%"
"09/10/2018","2,390.00","2,390.00","2,390.00","2,390.00","","0.00%"
"09/07/2018","2,390.00","2,390.00","2,390.00","2,390.00","","0.42%"
"09/06/2018","2,380.00","2,380.00","2,380.00","2,380.00","","0.00%"
"09/05/2018","2,380.00","2,380.00","2,380.00","2,380.00","","0.00%"
"09/04/2018","2,380.00","2,380.00","2,380.00","2,380.00","","0.00%"
