"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2018","15.540","15.460","15.575","15.390","53.73K","0.67%"
"12/28/2018","15.436","15.295","15.460","15.285","60.78K","1.15%"
"12/27/2018","15.260","15.070","15.260","15.020","0.18K","1.20%"
"12/26/2018","15.079","14.760","15.195","14.760","0.38K","2.09%"
"12/24/2018","14.771","14.655","14.770","14.655","0.02K","0.85%"
"12/21/2018","14.646","14.795","14.795","14.630","0.05K","-1.13%"
"12/20/2018","14.814","14.595","14.850","14.595","0.12K","0.29%"
"12/19/2018","14.771","14.820","14.820","14.610","0.04K","0.78%"
"12/18/2018","14.656","14.690","14.715","14.650","0.02K","-0.39%"
"12/17/2018","14.714","14.595","14.700","14.595","0.05K","0.85%"
"12/14/2018","14.590","14.615","14.630","14.560","0.03K","-1.45%"
"12/13/2018","14.805","14.760","14.790","14.760","0.02K","0.01%"
"12/12/2018","14.804","14.625","14.820","14.625","0.04K","1.55%"
"12/11/2018","14.578","14.700","14.760","14.580","0.02K","0.16%"
"12/10/2018","14.555","14.580","14.595","14.565","0.05K","-0.63%"
"12/07/2018","14.647","14.565","14.650","14.565","0.04K","1.28%"
"12/06/2018","14.462","14.410","14.495","14.390","0.01K","-0.52%"
"12/05/2018","14.537","14.455","14.525","14.455","0.05K","-0.40%"
"12/04/2018","14.595","14.560","14.575","14.545","0.02K","0.98%"
"12/03/2018","14.453","14.400","14.565","14.400","0.04K","1.93%"
"11/30/2018","14.180","14.330","14.350","14.120","0.04K","-1.23%"
"11/29/2018","14.356","14.420","14.470","14.340","78.09K","-0.11%"
"11/28/2018","14.372","14.155","14.400","14.125","0.75K","1.67%"
"11/27/2018","14.136","14.270","14.310","14.110","0.42K","-0.85%"
"11/26/2018","14.257","14.345","14.445","14.245","0.43K","-0.21%"
"11/23/2018","14.287","14.515","14.555","14.205","0.41K","0.31%"
"11/22/2018","14.243","14.460","14.485","14.165","101.36K","-2.06%"
"11/21/2018","14.542","14.340","14.575","14.315","0.30K","1.61%"
"11/20/2018","14.311","14.430","14.500","14.280","0.14K","-0.92%"
"11/19/2018","14.444","14.425","14.455","14.380","0.10K","0.15%"
"11/16/2018","14.422","14.330","14.430","14.265","0.27K","0.82%"
"11/15/2018","14.304","14.145","14.345","14.130","0.35K","1.27%"
"11/14/2018","14.124","14.040","14.185","13.925","0.27K","0.72%"
"11/13/2018","14.023","14.035","14.115","13.980","0.40K","-0.22%"
"11/12/2018","14.054","14.175","14.220","14.010","0.17K","-0.92%"
"11/09/2018","14.184","14.410","14.415","14.130","0.53K","-1.96%"
"11/08/2018","14.467","14.480","14.570","14.415","0.23K","-0.99%"
"11/07/2018","14.612","14.600","14.715","14.600","0.14K","0.47%"
"11/06/2018","14.543","14.705","14.715","14.540","0.06K","-1.01%"
"11/05/2018","14.691","14.800","14.800","14.650","0.20K","-0.72%"
"11/02/2018","14.798","14.725","14.955","14.715","0.43K","-0.16%"
"11/01/2018","14.821","14.305","14.850","14.300","0.39K","3.47%"
"10/31/2018","14.324","14.430","14.430","14.300","0.18K","-1.24%"
"10/30/2018","14.504","14.535","14.535","14.475","0.08K","0.43%"
"10/29/2018","14.442","14.720","14.780","14.405","93.78K","-1.76%"
"10/26/2018","14.700","14.660","14.795","14.595","84.75K","0.48%"
"10/25/2018","14.630","14.720","14.800","14.610","70.47K","-0.31%"
"10/24/2018","14.676","14.775","14.830","14.660","64.15K","-0.79%"
"10/23/2018","14.793","14.585","14.840","14.540","86.18K","1.41%"
"10/22/2018","14.587","14.650","14.715","14.540","57.81K","-0.43%"
"10/19/2018","14.650","14.600","14.740","14.580","57.03K","0.31%"
"10/18/2018","14.604","14.625","14.680","14.470","76.14K","-0.40%"
"10/17/2018","14.663","14.675","14.760","14.615","59.83K","-0.26%"
"10/16/2018","14.701","14.725","14.880","14.640","67.28K","-0.18%"
"10/15/2018","14.727","14.625","14.805","14.615","64.04K","0.63%"
"10/12/2018","14.635","14.620","14.735","14.540","70.70K","0.20%"
"10/11/2018","14.606","14.335","14.650","14.275","97.85K","1.95%"
"10/10/2018","14.326","14.420","14.455","14.255","61.50K","-0.51%"
"10/09/2018","14.400","14.420","14.470","14.285","65.02K","0.50%"
"10/08/2018","14.329","14.665","14.700","14.285","88.56K","-2.18%"
"10/05/2018","14.649","14.620","14.750","14.540","61.93K","0.40%"
"10/04/2018","14.590","14.665","14.805","14.560","77.16K","-0.55%"
"10/03/2018","14.670","14.730","14.855","14.650","66.41K","-0.16%"
"10/02/2018","14.693","14.535","14.950","14.470","106.11K","1.28%"
"10/01/2018","14.507","14.725","14.725","14.395","84.97K","-1.39%"
"09/28/2018","14.712","14.270","14.755","14.255","117.07K","2.95%"
"09/27/2018","14.290","14.375","14.480","14.195","87.46K","-0.45%"
"09/26/2018","14.354","14.460","14.475","14.300","0.31K","-0.63%"
"09/25/2018","14.445","14.255","14.500","14.220","0.12K","1.04%"
"09/24/2018","14.296","14.265","14.340","14.180","0.08K","-0.13%"
"09/21/2018","14.315","14.375","14.380","14.150","0.12K","0.37%"
"09/20/2018","14.262","14.330","14.335","14.200","0.06K","0.15%"
"09/19/2018","14.240","14.225","14.290","14.185","0.04K","0.67%"
"09/18/2018","14.145","14.130","14.190","14.105","0.06K","-0.27%"
"09/17/2018","14.183","14.035","14.215","14.035","0.03K","0.55%"
"09/14/2018","14.106","14.255","14.255","14.050","0.16K","-0.65%"
"09/13/2018","14.199","14.220","14.305","14.180","0.04K","-0.33%"
"09/12/2018","14.246","14.145","14.245","14.065","0.03K","0.95%"
"09/11/2018","14.112","14.180","14.180","14.110","0.02K","-0.18%"
"09/10/2018","14.138","14.190","14.190","14.145","0.01K","0.06%"
"09/07/2018","14.130","14.105","14.185","14.105","0.03K","-0.08%"
"09/06/2018","14.141","14.220","14.340","14.130","72.88K","-0.28%"
"09/05/2018","14.180","14.150","14.150","14.150","0.00K","0.25%"
"09/04/2018","14.145","14.480","14.480","14.080","0.03K","-0.25%"
"09/03/2018","14.180","14.540","14.550","14.035","141.42K","-2.32%"
"08/31/2018","14.517","14.650","14.650","14.560","0.00K","-0.23%"
"08/30/2018","14.551","14.780","14.825","14.545","81.13K","-1.24%"
"08/29/2018","14.733","14.730","14.765","14.635","0.58K","-0.59%"
"08/28/2018","14.820","14.895","14.990","14.655","0.32K","-0.54%"
"08/27/2018","14.901","14.835","14.910","14.755","0.25K","0.47%"
"08/24/2018","14.831","14.545","14.860","14.535","0.16K","1.74%"
"08/23/2018","14.577","14.705","14.705","14.500","0.69K","-1.41%"
"08/22/2018","14.785","14.805","14.870","14.735","0.12K","-0.09%"
"08/21/2018","14.799","14.810","14.855","14.790","0.10K","0.65%"
"08/20/2018","14.703","14.785","14.820","14.680","0.07K","0.27%"
"08/17/2018","14.664","14.665","14.725","14.650","0.04K","-0.55%"
"08/16/2018","14.745","14.465","14.840","14.380","0.27K","1.77%"
"08/15/2018","14.488","15.085","15.085","14.395","0.18K","-3.96%"
"08/14/2018","15.086","15.090","15.090","15.065","0.03K","0.47%"
"08/13/2018","15.016","15.280","15.290","15.020","0.03K","-2.04%"
"08/10/2018","15.328","15.475","15.475","15.350","0.02K","-1.08%"
"08/09/2018","15.495","15.540","15.540","15.500","0.05K","0.20%"
"08/08/2018","15.464","15.415","15.440","15.345","0.01K","0.38%"
"08/07/2018","15.405","15.405","15.405","15.405","0.02K","0.16%"
"08/06/2018","15.381","15.480","15.480","15.340","0.06K","-0.74%"
"08/03/2018","15.495","15.490","15.565","15.490","0.02K","0.50%"
"08/02/2018","15.418","15.395","15.395","15.395","0.05K","-0.45%"
"08/01/2018","15.488","15.585","15.585","15.480","0.05K","-0.70%"
"07/31/2018","15.597","15.630","15.630","15.630","0.00K","-0.45%"
"07/30/2018","15.667","15.590","15.655","15.520","4.08K","1.12%"
"07/27/2018","15.493","15.400","15.570","15.345","59.41K","-0.01%"
"07/26/2018","15.495","15.620","15.700","15.390","56.67K","-0.60%"
"07/25/2018","15.589","15.480","15.655","15.470","60.42K","0.44%"
"07/24/2018","15.520","15.395","15.630","15.340","70.89K","0.62%"
"07/23/2018","15.425","15.540","15.580","15.350","61.39K","-0.80%"
"07/20/2018","15.549","15.330","15.565","15.250","81.07K","0.95%"
"07/19/2018","15.402","15.565","15.590","15.185","103.53K","-1.10%"
"07/18/2018","15.574","15.585","15.625","15.410","71.77K","-0.28%"
"07/17/2018","15.617","15.800","15.885","15.560","80.89K","-1.23%"
"07/16/2018","15.812","15.805","15.900","15.765","47.30K","-0.02%"
"07/13/2018","15.815","15.980","16.015","15.700","78.40K","-1.01%"
"07/12/2018","15.977","15.825","16.025","15.780","64.14K","1.01%"
"07/11/2018","15.817","16.105","16.110","15.805","86.97K","-1.68%"
"07/10/2018","16.087","16.150","16.200","15.920","68.89K","-0.32%"
"07/09/2018","16.139","16.065","16.260","16.055","62.14K","0.44%"
"07/06/2018","16.069","16.065","16.190","15.985","58.13K","-0.17%"
"07/05/2018","16.097","16.060","16.195","15.970","89.47K","0.00%"
"07/04/2018","16.097","16.130","16.145","15.970","89.47K","0.34%"
"07/03/2018","16.043","15.880","16.085","15.815","72.28K","1.31%"
"07/02/2018","15.835","16.145","16.180","15.800","82.70K","-2.24%"
"06/29/2018","16.198","16.050","16.220","16.000","70.39K","0.98%"
"06/28/2018","16.041","16.125","16.185","15.965","109.59K","-0.96%"
"06/27/2018","16.196","16.320","16.325","16.000","0.99K","-0.60%"
"06/26/2018","16.293","16.360","16.390","16.185","0.31K","-0.47%"
"06/25/2018","16.370","16.525","16.525","16.340","0.47K","-0.78%"
"06/22/2018","16.499","16.370","16.500","16.360","0.15K","0.82%"
"06/21/2018","16.364","16.330","16.365","16.230","0.13K","0.10%"
"06/20/2018","16.348","16.380","16.390","16.320","0.27K","-0.10%"
"06/19/2018","16.364","16.565","16.580","16.290","0.19K","-0.71%"
"06/18/2018","16.481","16.580","16.680","16.485","0.34K","-0.24%"
"06/15/2018","16.520","17.180","17.290","16.500","0.26K","-4.50%"
"06/14/2018","17.299","17.025","17.360","17.025","0.05K","1.60%"
"06/13/2018","17.027","16.890","17.145","16.870","0.07K","0.59%"
"06/12/2018","16.927","16.940","17.000","16.860","0.06K","-0.38%"
"06/11/2018","16.991","16.920","17.000","16.830","0.02K","1.25%"
"06/08/2018","16.781","16.720","16.855","16.690","0.01K","-0.42%"
"06/07/2018","16.852","16.720","16.960","16.720","0.04K","0.73%"
"06/06/2018","16.730","16.760","16.800","16.750","0.02K","0.87%"
"06/05/2018","16.586","16.555","16.555","16.555","0.00K","0.67%"
"06/04/2018","16.476","16.505","16.565","16.505","0.00K","-0.05%"
"06/01/2018","16.485","16.535","16.535","16.535","0.00K","-0.11%"
"05/31/2018","16.503","16.570","16.600","16.570","0.00K","-0.51%"
"05/30/2018","16.587","16.485","16.660","16.415","3.08K","1.31%"
"05/29/2018","16.373","16.530","16.530","16.310","104.49K","0.00%"
"05/28/2018","16.373","16.480","16.515","16.310","104.49K","-1.05%"
