"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2018","2,506.80","2,498.90","2,509.20","2,482.80","","0.85%"
"12/28/2018","2,485.70","2,498.80","2,520.30","2,472.90","","-0.12%"
"12/27/2018","2,488.80","2,442.50","2,489.10","2,397.90","","0.86%"
"12/26/2018","2,467.70","2,363.10","2,467.80","2,346.60","","4.96%"
"12/24/2018","2,351.10","2,400.60","2,410.30","2,351.10","","-2.71%"
"12/21/2018","2,416.60","2,465.40","2,504.40","2,408.60","","-2.06%"
"12/20/2018","2,467.40","2,496.80","2,509.60","2,441.20","","-1.58%"
"12/19/2018","2,507.00","2,547.10","2,585.30","2,489.00","","-1.54%"
"12/18/2018","2,546.20","2,559.90","2,574.00","2,528.70","","0.01%"
"12/17/2018","2,545.90","2,590.80","2,601.10","2,530.50","","-2.08%"
"12/14/2018","2,599.90","2,629.70","2,635.10","2,593.80","","-1.91%"
"12/13/2018","2,650.50","2,658.70","2,670.20","2,637.30","","-0.02%"
"12/12/2018","2,651.10","2,658.20","2,685.40","2,650.30","","0.54%"
"12/11/2018","2,636.80","2,664.40","2,674.30","2,621.30","","-0.03%"
"12/10/2018","2,637.70","2,630.90","2,647.50","2,583.20","","0.17%"
"12/07/2018","2,633.10","2,691.30","2,708.50","2,623.10","","-2.33%"
"12/06/2018","2,695.90","2,663.50","2,696.20","2,621.50","","-0.16%"
"12/04/2018","2,700.10","2,782.40","2,785.90","2,697.20","","-3.24%"
"12/03/2018","2,790.40","2,790.50","2,800.20","2,773.40","","1.09%"
"11/30/2018","2,760.20","2,737.80","2,760.90","2,732.80","","0.82%"
"11/29/2018","2,737.80","2,737.00","2,753.80","2,722.90","","-0.22%"
"11/28/2018","2,743.80","2,691.40","2,744.00","2,684.40","","2.30%"
"11/27/2018","2,682.20","2,663.80","2,682.50","2,655.90","","0.33%"
"11/26/2018","2,673.40","2,650.00","2,674.30","2,650.00","","1.55%"
"11/23/2018","2,632.60","2,633.40","2,647.60","2,631.10","","-0.65%"
