"Date","Price","Open","High","Low","Change %"
"12/31/2018","2.686","2.730","2.745","2.679","-1.12%"
"12/28/2018","2.716","2.768","2.781","2.713","-2.07%"
"12/27/2018","2.774","2.803","2.806","2.733","-1.28%"
"12/26/2018","2.810","2.751","2.815","2.720","2.14%"
"12/25/2018","2.751","2.749","2.751","2.749","0.52%"
"12/24/2018","2.737","2.826","2.826","2.733","-1.86%"
"12/21/2018","2.788","2.801","2.810","2.781","-0.71%"
"12/20/2018","2.808","2.767","2.814","2.748","1.68%"
"12/19/2018","2.762","2.819","2.861","2.750","-2.15%"
"12/18/2018","2.823","2.859","2.861","2.818","-1.20%"
"12/17/2018","2.857","2.895","2.898","2.848","-1.31%"
"12/14/2018","2.895","2.909","2.913","2.870","-0.62%"
"12/13/2018","2.913","2.910","2.918","2.891","0.06%"
"12/12/2018","2.911","2.884","2.917","2.879","1.13%"
"12/11/2018","2.879","2.850","2.890","2.845","0.56%"
"12/10/2018","2.863","2.829","2.868","2.825","0.19%"
"12/07/2018","2.858","2.901","2.921","2.847","-1.19%"
"12/06/2018","2.892","2.917","2.924","2.826","-0.87%"
"12/05/2018","2.917","2.912","2.917","2.912","0.06%"
"12/04/2018","2.915","2.975","2.977","2.885","-1.71%"
"12/03/2018","2.966","3.037","3.050","2.966","-0.91%"
"11/30/2018","2.993","3.026","3.032","2.988","-1.26%"
"11/29/2018","3.032","3.048","3.052","2.997","-0.95%"
"11/28/2018","3.061","3.057","3.075","3.043","0.06%"
"11/27/2018","3.059","3.059","3.074","3.044","0.00%"
"11/26/2018","3.059","3.050","3.079","3.046","0.42%"
"11/23/2018","3.046","3.068","3.076","3.032","-0.60%"
"11/22/2018","3.065","3.065","3.065","3.065","0.00%"
"11/21/2018","3.065","3.065","3.088","3.061","0.12%"
"11/20/2018","3.061","3.063","3.070","3.036","-0.06%"
"11/19/2018","3.063","3.057","3.096","3.052","-0.06%"
"11/16/2018","3.065","3.110","3.123","3.065","-1.47%"
"11/15/2018","3.110","3.123","3.136","3.081","-0.53%"
"11/14/2018","3.127","3.145","3.165","3.092","-0.47%"
"11/13/2018","3.141","3.151","3.176","3.138","-0.29%"
"11/12/2018","3.151","3.186","3.186","3.151","-1.10%"
"11/09/2018","3.186","3.232","3.236","3.180","-1.65%"
"11/08/2018","3.239","3.236","3.243","3.206","0.06%"
"11/07/2018","3.237","3.213","3.250","3.176","0.18%"
"11/06/2018","3.231","3.208","3.231","3.189","0.96%"
"11/05/2018","3.201","3.208","3.212","3.186","-0.59%"
"11/02/2018","3.220","3.140","3.224","3.136","2.73%"
"11/01/2018","3.134","3.155","3.174","3.130","-0.48%"
"10/31/2018","3.149","3.125","3.162","3.123","0.97%"
"10/30/2018","3.119","3.087","3.125","3.083","0.98%"
"10/29/2018","3.089","3.081","3.117","3.059","0.37%"
"10/26/2018","3.077","3.109","3.117","3.057","-1.56%"
"10/25/2018","3.126","3.102","3.145","3.100","0.49%"
"10/24/2018","3.111","3.170","3.170","3.094","-1.90%"
"10/23/2018","3.171","3.192","3.194","3.111","-0.88%"
"10/22/2018","3.200","3.192","3.209","3.177","0.12%"
"10/19/2018","3.196","3.175","3.209","3.169","0.60%"
"10/18/2018","3.177","3.207","3.217","3.160","-0.94%"
"10/17/2018","3.207","3.169","3.207","3.146","1.38%"
"10/16/2018","3.163","3.158","3.178","3.152","0.24%"
"10/15/2018","3.156","3.158","3.165","3.142","-0.36%"
"10/12/2018","3.167","3.154","3.184","3.131","0.67%"
"10/11/2018","3.146","3.163","3.195","3.124","-0.89%"
"10/10/2018","3.174","3.214","3.244","3.165","-1.00%"
"10/09/2018","3.206","3.231","3.261","3.203","-0.76%"
"10/08/2018","3.231","3.237","3.237","3.231","-0.06%"
"10/05/2018","3.233","3.193","3.248","3.187","1.44%"
"10/04/2018","3.187","3.198","3.232","3.176","0.18%"
"10/03/2018","3.181","3.061","3.187","3.050","3.92%"
"10/02/2018","3.061","3.087","3.087","3.046","-0.78%"
"10/01/2018","3.086","3.067","3.095","3.063","0.67%"
"09/28/2018","3.065","3.048","3.065","3.026","0.31%"
"09/27/2018","3.056","3.054","3.074","3.030","0.25%"
"09/26/2018","3.048","3.096","3.098","3.048","-1.62%"
"09/25/2018","3.098","3.089","3.113","3.087","0.30%"
"09/24/2018","3.089","3.098","3.098","3.065","0.73%"
"09/21/2018","3.066","3.065","3.085","3.057","0.07%"
"09/20/2018","3.065","3.066","3.096","3.059","-0.06%"
"09/19/2018","3.066","3.055","3.092","3.044","0.30%"
"09/18/2018","3.057","2.979","3.059","2.977","2.10%"
"09/17/2018","2.994","2.990","3.022","2.985","-0.18%"
"09/14/2018","3.000","2.974","3.003","2.968","0.87%"
"09/13/2018","2.974","2.964","2.983","2.944","0.31%"
"09/12/2018","2.964","2.974","2.976","2.955","-0.55%"
"09/11/2018","2.981","2.935","2.983","2.935","1.56%"
"09/10/2018","2.935","2.944","2.950","2.930","-0.13%"
"09/07/2018","2.939","2.875","2.950","2.871","2.09%"
"09/06/2018","2.878","2.900","2.911","2.871","-0.88%"
"09/05/2018","2.904","2.898","2.917","2.884","0.19%"
"09/04/2018","2.898","2.860","2.906","2.855","1.27%"
"09/03/2018","2.862","2.862","2.862","2.862","0.06%"
"08/31/2018","2.860","2.860","2.868","2.831","0.06%"
"08/30/2018","2.859","2.880","2.888","2.855","-0.94%"
"08/29/2018","2.886","2.878","2.898","2.866","0.06%"
"08/28/2018","2.884","2.851","2.888","2.844","1.34%"
"08/27/2018","2.846","2.821","2.851","2.815","1.16%"
"08/24/2018","2.813","2.824","2.850","2.812","-0.51%"
"08/23/2018","2.828","2.817","2.832","2.812","0.26%"
"08/22/2018","2.821","2.824","2.837","2.808","-0.76%"
"08/21/2018","2.842","2.824","2.853","2.819","0.83%"
"08/20/2018","2.819","2.866","2.869","2.815","-1.57%"
"08/17/2018","2.864","2.868","2.877","2.844","-0.19%"
"08/16/2018","2.870","2.864","2.893","2.857","0.19%"
"08/15/2018","2.864","2.900","2.900","2.837","-1.25%"
"08/14/2018","2.900","2.877","2.902","2.877","0.82%"
"08/13/2018","2.877","2.866","2.889","2.848","0.13%"
"08/10/2018","2.873","2.929","2.931","2.853","-1.92%"
"08/09/2018","2.929","2.959","2.964","2.924","-1.16%"
"08/08/2018","2.964","2.973","2.986","2.958","-0.44%"
"08/07/2018","2.977","2.943","2.979","2.936","1.07%"
"08/06/2018","2.945","2.956","2.962","2.925","-0.19%"
"08/03/2018","2.951","2.993","2.997","2.951","-1.18%"
"08/02/2018","2.986","3.003","3.006","2.975","-0.62%"
"08/01/2018","3.004","2.958","3.016","2.954","1.45%"
"07/31/2018","2.962","2.969","2.977","2.934","-0.44%"
"07/30/2018","2.975","2.962","2.990","2.958","0.57%"
"07/27/2018","2.958","2.976","2.988","2.951","-0.81%"
"07/26/2018","2.982","2.974","2.984","2.947","0.31%"
"07/25/2018","2.973","2.949","2.976","2.928","0.76%"
"07/24/2018","2.950","2.958","2.973","2.945","-0.31%"
"07/23/2018","2.960","2.895","2.967","2.882","2.23%"
"07/20/2018","2.895","2.847","2.899","2.836","2.01%"
"07/19/2018","2.838","2.880","2.897","2.831","-1.28%"
"07/18/2018","2.875","2.864","2.882","2.847","0.51%"
"07/17/2018","2.860","2.860","2.873","2.847","0.13%"
"07/16/2018","2.856","2.823","2.877","2.823","0.97%"
"07/13/2018","2.829","2.856","2.858","2.827","-0.71%"
"07/12/2018","2.849","2.853","2.871","2.845","0.32%"
"07/11/2018","2.840","2.838","2.866","2.825","-0.96%"
"07/10/2018","2.867","2.862","2.875","2.851","0.32%"
"07/09/2018","2.858","2.829","2.862","2.829","1.23%"
"07/06/2018","2.824","2.831","2.849","2.807","-0.32%"
"07/05/2018","2.833","2.842","2.866","2.820","-0.32%"
"07/04/2018","2.842","2.842","2.842","2.842","0.32%"
"07/03/2018","2.833","2.869","2.884","2.831","-1.34%"
"07/02/2018","2.871","2.858","2.873","2.824","0.38%"
"06/29/2018","2.860","2.844","2.868","2.833","0.70%"
"06/28/2018","2.840","2.833","2.853","2.822","0.45%"
"06/27/2018","2.827","2.884","2.886","2.826","-1.71%"
"06/26/2018","2.877","2.882","2.900","2.866","-0.19%"
"06/25/2018","2.882","2.893","2.897","2.866","-0.44%"
"06/22/2018","2.895","2.904","2.928","2.893","-0.13%"
"06/21/2018","2.899","2.937","2.950","2.891","-1.31%"
"06/20/2018","2.937","2.895","2.941","2.882","1.39%"
"06/19/2018","2.897","2.897","2.904","2.853","-0.69%"
"06/18/2018","2.917","2.922","2.933","2.900","-0.18%"
"06/15/2018","2.922","2.937","2.937","2.889","-0.44%"
"06/14/2018","2.935","2.970","2.976","2.928","-1.30%"
"06/13/2018","2.974","2.961","3.010","2.950","0.31%"
"06/12/2018","2.964","2.957","2.981","2.944","0.44%"
"06/11/2018","2.952","2.952","2.970","2.950","0.13%"
"06/08/2018","2.948","2.941","2.950","2.889","0.88%"
