"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2018","801.40","795.95","802.80","793.10","","0.65%"
"12/30/2018","796.20","795.80","797.50","795.60","","0.75%"
"12/28/2018","790.25","795.60","800.50","787.75","","-0.66%"
"12/27/2018","795.50","799.40","802.20","785.10","","-0.47%"
"12/26/2018","799.25","788.75","804.30","788.75","","1.31%"
"12/25/2018","788.90","788.80","790.75","788.35","","0.06%"
"12/24/2018","788.40","791.85","798.30","788.30","","-0.45%"
"12/23/2018","791.95","790.20","792.60","790.20","","0.37%"
"12/21/2018","789.05","796.50","798.60","788.00","","-0.92%"
"12/20/2018","796.40","787.60","798.80","785.00","","1.10%"
"12/19/2018","787.70","792.75","799.30","785.60","","-0.66%"
"12/18/2018","792.90","793.25","795.75","786.10","","-0.03%"
"12/17/2018","793.10","787.40","798.25","782.70","","0.73%"
"12/16/2018","787.35","786.90","787.65","786.20","","0.00%"
"12/14/2018","787.35","796.70","797.50","781.30","","-1.19%"
"12/13/2018","796.80","804.60","808.60","790.70","","-0.98%"
"12/12/2018","804.65","787.25","807.50","785.40","","2.20%"
"12/11/2018","787.35","783.55","791.30","780.10","","0.46%"
"12/10/2018","783.75","792.90","795.05","778.70","","-1.18%"
"12/09/2018","793.10","794.10","795.80","793.00","","-0.15%"
"12/07/2018","794.30","789.50","796.70","785.30","","0.57%"
"12/06/2018","789.80","802.05","803.70","785.00","","-1.53%"
"12/05/2018","802.05","804.65","805.55","791.30","","-0.31%"
"12/04/2018","804.55","808.50","811.20","799.70","","-0.49%"
"12/03/2018","808.50","808.00","816.50","805.30","","0.07%"
"12/02/2018","807.90","802.10","808.50","801.70","","0.86%"
"11/30/2018","801.00","822.20","823.00","799.20","","-2.58%"
"11/29/2018","822.20","828.00","832.50","818.90","","-0.68%"
"11/28/2018","827.80","836.50","837.20","816.70","","-1.04%"
"11/27/2018","836.50","846.50","848.70","832.70","","-1.18%"
"11/26/2018","846.50","843.80","852.20","843.20","","0.32%"
"11/25/2018","843.80","842.90","844.30","842.70","","0.08%"
"11/23/2018","843.10","850.00","850.60","839.90","","-0.81%"
"11/22/2018","850.00","849.10","852.80","847.30","","0.11%"
"11/21/2018","849.10","844.30","853.30","842.30","","0.57%"
"11/20/2018","844.30","855.70","858.10","840.80","","-1.33%"
"11/19/2018","855.70","848.00","858.60","845.00","","0.91%"
